SortOrder,TimeClass,DisplayDistance,DisplayTitle,DisplayDescription,FileName,Enabled
110,All,Overall,Current Unofficial Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official and unofficial results from family members over the last 12 months.,overall-current-all-family.csv,TRUE
111,All,Overall,All Time Unofficial Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official and unofficial results from family members over all-time.,overall-alltime-all-family.csv,TRUE
160,All,5km,Current Unofficial 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official and unofficial results from family members over the last 12 months.,5km-current-all-family.csv,TRUE
161,All,5km,All Time Unofficial 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official and unofficial results from family members over all-time.,5km-alltime-all-family.csv,TRUE
150,All,10km,Current Unofficial 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official and unofficial results from family members over the last 12 months.,10km-current-all-family.csv,TRUE
151,All,10km,All Time Unofficial 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official and unofficial results from family members over all-time.,10km-alltime-all-family.csv,TRUE
140,All,10mile,Current Unofficial 10mile Champions (Family),These rankings compare age-adjusted performances across 10mile events using official and unofficial results from family members over the last 12 months.,10mile-current-all-family.csv,TRUE
141,All,10mile,All Time Unofficial 10mile Champions (Family),These rankings compare age-adjusted performances across 10mile events using official and unofficial results from family members over all-time.,10mile-alltime-all-family.csv,TRUE
40,Official,10mile,Current Official 10mile Champions (Family),These rankings compare age-adjusted performances across 10mile events using official race results from family members over the last 12 months.,10mile-current-official-family.csv,TRUE
41,Official,10mile,All Time Official 10mile Champions (Family),These rankings compare age-adjusted performances across 10mile events using official race results from family members over all-time.,10mile-alltime-official-family.csv,TRUE
130,All,Half Marathon,Current Unofficial Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from family members over the last 12 months.,halfmarathon-current-all-family.csv,TRUE
131,All,Half Marathon,All Time Unofficial Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official and unofficial results from family members over all-time.,halfmarathon-alltime-all-family.csv,TRUE
120,All,Marathon,Current Unofficial Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official and unofficial results from family members over the last 12 months.,marathon-current-all-family.csv,TRUE
121,All,Marathon,All Time Unofficial Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official and unofficial results from family members over all-time.,marathon-alltime-all-family.csv,TRUE
10,Official,Overall,Current Official Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official race results from family members over the last 12 months.,overall-current-official-family.csv,TRUE
11,Official,Overall,All Time Official Overall Champions (Family),These rankings compare age-adjusted performances across overall events using official race results from family members over all-time.,overall-alltime-official-family.csv,TRUE
60,Official,5km,Current Official 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official race results from family members over the last 12 months.,5km-current-official-family.csv,TRUE
61,Official,5km,All Time Official 5km Champions (Family),These rankings compare age-adjusted performances across 5km events using official race results from family members over all-time.,5km-alltime-official-family.csv,TRUE
50,Official,10km,Current Official 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official race results from family members over the last 12 months.,10km-current-official-family.csv,TRUE
51,Official,10km,All Time Official 10km Champions (Family),These rankings compare age-adjusted performances across 10km events using official race results from family members over all-time.,10km-alltime-official-family.csv,TRUE
30,Official,Half Marathon,Current Official Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official race results from family members over the last 12 months.,halfmarathon-current-official-family.csv,TRUE
31,Official,Half Marathon,All Time Official Half Marathon Champions (Family),These rankings compare age-adjusted performances across half marathon events using official race results from family members over all-time.,halfmarathon-alltime-official-family.csv,TRUE
20,Official,Marathon,Current Official Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official race results from family members over the last 12 months.,marathon-current-official-family.csv,TRUE
21,Official,Marathon,All Time Official Marathon Champions (Family),These rankings compare age-adjusted performances across marathon events using official race results from family members over all-time.,marathon-alltime-official-family.csv,TRUE
